Make,Vehicle Class,Engine Size(L),Cylinders,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
AUDI,COMPACT,2,4,Z,9.9,7.4,8.8,32,202
AUDI,COMPACT,2,4,Z,11.5,8.1,10,28,230
AUDI,COMPACT,2,4,Z,10.8,7.5,9.3,30,214
AUDI,SUBCOMPACT,2,4,Z,11.5,8.1,10,28,230
AUDI,SUBCOMPACT,2,4,Z,11.5,8.1,10,28,230
AUDI,SUBCOMPACT,2,4,Z,10.8,7.5,9.3,30,214
AUDI,MID-SIZE,2,4,Z,12,8.1,10.2,28,235
AUDI,MID-SIZE,3,6,Z,12.8,8.6,10.9,26,251
AUDI,MID-SIZE,3,6,D,9.8,6.2,8.1,35,217
AUDI,MID-SIZE,3,6,Z,13.3,8.5,11.2,25,262
AUDI,MID-SIZE,3,6,D,9.8,6.2,8.1,35,217
AUDI,MID-SIZE,3,6,Z,13.1,8.8,11.2,25,258
AUDI,MID-SIZE,4,8,Z,13.7,8.3,11.3,25,265
AUDI,MID-SIZE,3,6,D,9.8,6.5,8.4,34,224
AUDI,FULL-SIZE,3,6,Z,13.1,8.8,11.2,25,258
AUDI,FULL-SIZE,4,8,Z,14.7,9.7,12.5,23,288
AUDI,FULL-SIZE,6.3,12,Z,18.7,11.5,15.5,18,363
AUDI,FULL-SIZE,3,6,D,9.8,6.5,8.4,34,224
AUDI,STATION WAGON - SMALL,2,4,Z,11.8,8.8,10.5,27,242
AUDI,SUV - SMALL,2,4,Z,12,8.5,10.4,27,239
AUDI,SUV - SMALL,3,6,Z,12.9,9.2,11.2,25,258
AUDI,SUV - SMALL,3,6,D,10.2,7.8,9,31,244
AUDI,SUV - SMALL,2,4,Z,9.9,8.3,9.2,31,212
AUDI,SUV - STANDARD,3,6,Z,15.1,10.9,13.2,21,304
AUDI,SUV - STANDARD,3,6,D,12.4,8.7,10.7,26,290
AUDI,TWO-SEATER,4.2,8,Z,17.6,11,14.6,19,336
AUDI,TWO-SEATER,4.2,8,Z,21.2,13.4,17.7,16,407
AUDI,TWO-SEATER,5.2,10,Z,18.2,10.6,14.8,19,347
AUDI,TWO-SEATER,5.2,10,Z,21.1,13.8,17.8,16,409
AUDI,TWO-SEATER,4.2,8,Z,17.6,11,14.6,19,336
AUDI,TWO-SEATER,4.2,8,Z,21.2,13.4,17.7,16,407
AUDI,TWO-SEATER,5.2,10,Z,18.2,10.6,14.8,19,347
AUDI,TWO-SEATER,5.2,10,Z,21.1,13.8,17.8,16,409
AUDI,SUBCOMPACT,4.2,8,Z,15.3,10.9,13.3,21,306
AUDI,SUBCOMPACT,4.2,8,Z,15.2,11.3,13.4,21,308
AUDI,MID-SIZE,4,8,Z,15.5,8.8,12.5,23,293
AUDI,COMPACT,3,6,Z,13.2,9.2,11.4,25,262
AUDI,COMPACT,3,6,Z,14.6,9.8,12.4,23,285
AUDI,SUBCOMPACT,3,6,Z,13.2,9.2,11.4,25,262
